candidate_id,rank,score,reasoning
CAND_0027691,1,0.7798,"6-year NLP Engineer at Haptik with strong production experience in lora, peftand relevant retrieval/ranking background. Signals: open to work; 15-day notice."
CAND_0081846,2,0.7683,"7-year Lead AI Engineer at Razorpay with strong production experience in retrieval, learning to rankand relevant retrieval/ranking background. Signals: open to work; 30-day notice; high recruiter response rate (73%)."
CAND_0050454,3,0.7564,"7-year AI Engineer at Rephrase.ai with strong production experience in pytorch, loraand relevant retrieval/ranking background. Signals: open to work; 30-day notice; high recruiter response rate (77%)."
CAND_0039754,4,0.7544,"16-year Senior Applied Scientist at Meta with strong production experience in llm, qdrantand relevant retrieval/ranking background. Signals: open to work; 30-day notice; high recruiter response rate (81%)."
CAND_0046064,5,0.7540,"9-year Senior NLP Engineer at Salesforce with strong production experience in python, pineconeand relevant retrieval/ranking background. Signals: open to work; 30-day notice; high recruiter response rate (78%)."
CAND_0086022,6,0.7540,"5-year Senior Applied Scientist at Sarvam AI with strong production experience in vector search, recommendationand relevant retrieval/ranking background. Signals: open to work; 0-day notice."
CAND_0018499,7,0.7476,"7-year Senior Machine Learning Engineer at Zomato; adjacent profile with partial skill overlap. Has weaviate, recommendation exposure. Signals: open to work; 15-day notice."
CAND_0079387,8,0.7461,"7-year AI Engineer at Microsoft; adjacent profile with partial skill overlap. Has scikit-learn, recommendation exposure. Signals: open to work; 30-day notice; high recruiter response rate (81%)."
CAND_0068811,9,0.7325,"8-year Applied ML Engineer at Freshworks; adjacent profile with partial skill overlap. Has vector search, qdrant exposure. Signals: open to work; 30-day notice."
CAND_0011687,10,0.7185,"8-year Senior NLP Engineer at Niramai; adjacent profile with partial skill overlap. Has tensorflow, opensearch exposure. Signals: open to work; 15-day notice; high recruiter response rate (89%)."
CAND_0007009,11,0.7133,"8-year Recommendation Systems Engineer at Wysa; adjacent profile with partial skill overlap. Has weaviate, python exposure. Signals: open to work; 30-day notice."
CAND_0002025,12,0.7084,"6-year Senior AI Engineer at Apple; adjacent profile with partial skill overlap. Has faiss, tensorflow exposure. Signals: open to work; 30-day notice; high recruiter response rate (80%)."
CAND_0005649,13,0.7053,"7-year Senior Data Scientist at Sarvam AI; adjacent profile with partial skill overlap. Has tensorflow, llm exposure. Signals: open to work."
CAND_0062247,14,0.7038,"7-year AI Engineer at Google; adjacent profile with partial skill overlap. Has pinecone, vector search exposure. Signals: open to work; 30-day notice; high recruiter response rate (78%)."
